number_of_employees,asking_for_leave_for_mental_health,previous_employer_mental_health_benefits,previous_employer_mental_health_coverage_awareness,previous_employer_mental_health_official_communication,previous_employer_mental_health_resources,previous_employer_mental_health_anonymity,discussing_mental_health_with_previous_employer,discussing_physical_health_with_previous_employer,reveal_mental_diagnoses_previous_coworkers,reveal_mental_diagnoses_previous_supervisor,previous_employer_physical_same_mental,previous_employer_neg_consequences_open_mental_health,share_mental_illness_loved_ones,interference_with_work_with_effective_treatment,interference_with_work_NOT_effective_treatment,age_group,remote_work,discussing_mental_health_with_employer,discussing_physical_health_with_employer,discussing_mental_health_with_coworker,discussing_mental_health_with_supervisor,physical_health_interview,mental_health_interview,current_employment_less_likely_to_reveal_mental_health_issue,past_history_mental_health,current_MH_disorder,Back-end Developer,Designer,Dev Evangelist/Advocate,DevOps/SysAdmin,Executive Leadership,Front-end Developer,HR,One-person shop,Other,Sales,Supervisor/Team Lead,Support,tech_company_Yes,mental_health_benefits_I don't know,mental_health_benefits_No,mental_health_benefits_Not eligible for coverage / N/A,mental_health_benefits_Yes,mental_health_coverage_awareness_I am not sure,mental_health_coverage_awareness_Missing,mental_health_coverage_awareness_No,mental_health_coverage_awareness_Yes,mental_health_official_communication_I don't know,mental_health_official_communication_No,mental_health_official_communication_Yes,mental_health_resources_I don't know,mental_health_resources_No,mental_health_resources_Yes,mental_health_anonymity_I don't know,mental_health_anonymity_No,mental_health_anonymity_Yes,physical_same_mental_I don't know,physical_same_mental_No,physical_same_mental_Yes,neg_consequences_open_mental_health_Yes,previous_employer_Yes,mental_health_career_impact_Maybe,"mental_health_career_impact_No, I don't think it would","mental_health_career_impact_No, it has not","mental_health_career_impact_Yes, I think it would","mental_health_career_impact_Yes, it has",coworkers_perception_of_mental_health_Maybe,"coworkers_perception_of_mental_health_No, I don't think they would","coworkers_perception_of_mental_health_No, they do not","coworkers_perception_of_mental_health_Yes, I think they would","coworkers_perception_of_mental_health_Yes, they do",current_or_previous_employment_unsupportive_response_mental_health_Maybe/Not sure,current_or_previous_employment_unsupportive_response_mental_health_Missing,current_or_previous_employment_unsupportive_response_mental_health_No,"current_or_previous_employment_unsupportive_response_mental_health_Yes, I experienced","current_or_previous_employment_unsupportive_response_mental_health_Yes, I observed",family_history_mental_health_I don't know,family_history_mental_health_No,family_history_mental_health_Yes,at_any_point_diagnosed_MH_disorder_Yes,treatment_MH_disorder_Yes,gender_Female,gender_Male,gender_Other/Non-Binary,continent_residence_Asia,continent_residence_Europe,continent_residence_North America,continent_residence_Oceania,continent_residence_Other,continent_residence_South Africa,continent_residence_South America,continent_work_Asia,continent_work_Europe,continent_work_North America,continent_work_Oceania,continent_work_Other,continent_work_South Africa,continent_work_South America,clusters
0.6000000000000001,1.0,0.75,1.0,0.75,0.6666666666666666,1.0,0.5,0.3333333333333333,1.0,0.75,1.0,0.3333333333333333,0.8,0.5,0.75,0.4,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
0.6000000000000001,0.8,0.25,0.25,0.5,0.3333333333333333,0.25,1.0,1.0,0.6666666666666666,0.75,0.5,0.6666666666666666,0.2,0.0,0.75,0.6000000000000001,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.6666666666666666,0.5,0.5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
0.6000000000000001,1.0,0.25,0.5,0.5,0.3333333333333333,0.25,0.25,0.3333333333333333,0.3333333333333333,0.25,0.25,0.3333333333333333,0.8,0.75,0.75,0.4,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
0.6000000000000001,0.6000000000000001,0.75,0.75,0.75,0.6666666666666666,0.75,0.75,0.6666666666666666,0.6666666666666666,0.75,0.75,0.3333333333333333,0.6000000000000001,0.5,0.75,0.8,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
0.4,0.2,0.5,0.5,0.5,0.3333333333333333,0.5,1.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.6666666666666666,1.0,0.75,1.0,0.4,1.0,0.5,0.0,0.5,0.5,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
0.8,0.0,0.5,1.0,0.5,0.3333333333333333,0.25,0.75,0.6666666666666666,0.6666666666666666,0.75,0.75,0.3333333333333333,0.8,0.0,0.0,0.4,0.0,0.5,0.0,1.0,0.5,0.0,0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2
0.6000000000000001,0.0,0.25,0.25,0.5,0.6666666666666666,0.25,1.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.3333333333333333,0.4,0.5,0.75,0.4,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
0.2,1.0,1.0,1.0,0.5,0.3333333333333333,1.0,0.5,0.3333333333333333,0.6666666666666666,0.75,1.0,0.3333333333333333,0.4,0.0,0.0,0.2,0.5,0.0,0.0,0.5,1.0,0.5,0.0,0.6666666666666666,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
1.0,0.8,0.75,1.0,0.75,0.6666666666666666,1.0,0.5,0.6666666666666666,0.6666666666666666,0.75,0.25,0.3333333333333333,0.6000000000000001,0.0,0.0,0.4,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
0.4,1.0,1.0,1.0,0.5,0.3333333333333333,0.25,0.25,0.6666666666666666,0.6666666666666666,0.75,0.25,0.3333333333333333,0.6000000000000001,0.0,0.0,0.2,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2
0.0,0.4,0.75,0.75,0.75,0.6666666666666666,0.25,0.75,0.6666666666666666,0.6666666666666666,0.75,0.75,0.6666666666666666,0.8,0.75,1.0,0.4,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.6666666666666666,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
0.6000000000000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6000000000000001,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2
0.4,0.2,0.5,0.75,0.75,0.3333333333333333,0.25,0.75,0.6666666666666666,0.3333333333333333,0.25,0.75,0.3333333333333333,0.8,0.5,1.0,0.2,0.5,1.0,1.0,0.0,0.0,0.0,0.5,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2
0.6000000000000001,0.4,0.5,0.25,0.5,0.3333333333333333,0.25,0.25,0.6666666666666666,0.3333333333333333,0.5,0.5,0.6666666666666666,0.4,0.75,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3333333333333333,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2
0.8,0.6000000000000001,0.25,0.5,0.5,0.3333333333333333,0.25,0.75,0.6666666666666666,0.3333333333333333,0.5,0.5,1.0,0.6000000000000001,0.75,1.0,0.4,0.0,0.5,0.0,0.5,0.5,0.5,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2
0.2,0.8,0.5,0.25,0.5,0.3333333333333333,0.25,0.75,0.6666666666666666,0.3333333333333333,0.5,0.5,0.6666666666666666,0.4,0.75,1.0,0.4,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2
